Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Sirung,Indonésie,Asie,,1,1964,Historical Observations;
Akan,Japon,Asie,Me-Akan (Nakamachineshiri),1,1964,Historical Observations;
Asosan,Japon,Asie,Naka-dake,1,1964,Historical Observations;
Bezymianny,Russie,Europe,,1,1964,Historical Observations;
Batur,Indonésie,Asie,SW flank (near Batur III),1,1965,Historical Observations;
Krakatau,Indonésie,Asie,Anak Krakatau,1,1965,Historical Observations;
Lokon-Empung,Indonésie,Asie,Tompaluan,1,1965,Historical Observations;
Tangkubanparahu,Indonésie,Asie,,1,1965,Historical Observations;
Tangkubanparahu,Indonésie,Asie,,1,1965,Historical Observations;
Sirung,Indonésie,Asie,,1,1965,Historical Observations;
Sirung,Indonésie,Asie,,1,1965,Historical Observations;
Akan,Japon,Asie,Me-Akan (Nakamachineshiri),1,1965,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1965,Historical Observations;
Masaya,Nicaragua,Amérique du Nord,Santiago,1,1965,Historical Observations;
Telica,Nicaragua,Amérique du Nord,,1,1965,Historical Observations;
Ebeko,Russie,Europe,Middle Crater,1,1965,Historical Observations;
Tolbachik,Russie,Europe,,1,1965,Historical Observations;
Batur,Indonésie,Asie,SW flank (west of 1965 vent),1,1966,Historical Observations;
"Marapi,Indonésie,Asie,""B and C Craters, Kebun Bungo"",1,1966,Historical Observations";
Rinjani,Indonésie,Asie,East side of Barujari (2250 m),1,1966,Historical Observations;
Akan,Japon,Asie,Me-Akan (Nakamachineshiri),1,1966,Historical Observations;
Telica,Nicaragua,Amérique du Nord,,1,1966,Historical Observations;
Ruapehu,Nouvelle-Zélande,Océanie,,1,1966,Historical Observations;
Poas,Costa Rica,Amérique du Nord,,1,1967,Historical Observations;
Kelut,Indonésie,Asie,,1,1967,Historical Observations;
Kelut,Indonésie,Asie,Crater floor at foot of Kelut Peak,1,1967,Historical Observations;
"Marapi,Indonésie,Asie,""Crater C, Bungsu Crater"",1,1967,Historical Observations";
Talang,Indonésie,Asie,NE flank (200 m below summit),1,1967,Historical Observations;
Tangkubanparahu,Indonésie,Asie,Kawah Ecoma,1,1967,Historical Observations;
Asosan,Japon,Asie,Naka-dake,1,1967,Historical Observations;
Io-Torishima,Japon,Asie,,1,1967,Historical Observations;
Ioto,Japon,Asie,West side (Asodai),1,1967,Historical Observations;
